"Original.Reads"	"Filtered.Reads"	"Denoised.Reads"	"tabled"	"Non.chimeric.Reads"	"pseq"	"study"
"C04D_S316_L001_R1_001"	22451	22439	22439	22439	22249	22242	"deVries"
"C05A_S29_L001_R1_001"	15146	15138	15138	15138	15014	15012	"deVries"
"C05B_S125_L001_R1_001"	16228	16213	16213	16213	16143	16141	"deVries"
"C05C_S221_L001_R1_001"	15995	15986	15986	15986	15941	15941	"deVries"
"C05D_S317_L001_R1_001"	19409	19394	19394	19394	19309	19250	"deVries"
"C06A_S30_L001_R1_001"	23598	23583	23583	23583	23491	23487	"deVries"
"C06B_S126_L001_R1_001"	10723	10709	10709	10709	10662	10662	"deVries"
"C06C_S222_L001_R1_001"	29296	29274	29274	29274	29154	29142	"deVries"
"C06D_S318_L001_R1_001"	19770	19759	19759	19759	19666	19666	"deVries"
"C07A_S31_L001_R1_001"	18111	18094	18094	18094	18019	18019	"deVries"
"C07B_S127_L001_R1_001"	17490	17478	17478	17478	17377	17357	"deVries"
"C08A_S32_L001_R1_001"	25266	25248	25248	25248	24973	24968	"deVries"
"C08B_S128_L001_R1_001"	24561	24546	24546	24546	24398	24393	"deVries"
"C08C_S224_L001_R1_001"	17781	17763	17763	17763	17660	17656	"deVries"
"C09C_S225_L001_R1_001"	16353	16333	16333	16333	16320	16320	"deVries"
"C10C_S226_L001_R1_001"	16317	16301	16301	16301	16269	16269	"deVries"
"C11C_S227_L001_R1_001"	18954	18942	18942	18942	18762	18762	"deVries"
"D01A_S37_L001_R1_001"	29803	29791	29791	29791	29459	29444	"deVries"
"D01B_S133_L001_R1_001"	26483	26464	26464	26464	26235	26230	"deVries"
"D01C_S229_L001_R1_001"	15527	15509	15509	15509	15427	15425	"deVries"
"D01D_S325_L001_R1_001"	19044	19030	19030	19030	18953	18930	"deVries"
"D02A_S38_L001_R1_001"	8505	8498	8498	8498	8430	8430	"deVries"
"D02B_S134_L001_R1_001"	5798	5796	5796	5796	5772	5772	"deVries"
"D02C_S230_L001_R1_001"	11313	11303	11303	11303	11259	11259	"deVries"
