"Original.Reads"	"Filtered.Reads"	"Denoised.Reads"	"tabled"	"Non.chimeric.Reads"	"pseq"	"study"
"t3_11"	23910	23846	23846	23846	21083	21059	"Kruistuim"
"t3_12"	14530	14479	14479	14479	13316	13312	"Kruistuim"
"t3_13"	29991	29902	29902	29902	27088	27071	"Kruistuim"
"t3_14"	16694	16639	16639	16639	15379	15366	"Kruistuim"
"t3_15"	23894	23823	23823	23823	21746	21726	"Kruistuim"
"t3_16"	21121	21047	21047	21047	19617	19617	"Kruistuim"
"t3_17"	17869	17803	17803	17803	16601	16595	"Kruistuim"
"t3_18"	16750	16696	16696	16696	15849	15832	"Kruistuim"
"t3_19"	16295	16241	16241	16241	14568	14568	"Kruistuim"
"t3_1"	77	77	77	77	77	77	"Kruistuim"
"t3_20"	9523	9484	9484	9484	8573	8568	"Kruistuim"
"t3_21"	11895	11857	11857	11857	10765	10765	"Kruistuim"
"t3_22"	20457	20382	20382	20382	18339	18322	"Kruistuim"
"t3_23"	45461	45317	45317	45317	40270	40225	"Kruistuim"
"t3_24"	26441	26375	26375	26375	24002	23912	"Kruistuim"
"t3_2"	3961	3947	3947	3947	3812	3812	"Kruistuim"
"t3_3"	10856	10825	10825	10825	10369	10363	"Kruistuim"
"t3_4"	15876	15832	15832	15832	14713	14713	"Kruistuim"
"t3_5"	29228	29136	29136	29136	26856	26833	"Kruistuim"
"t3_6"	33047	32957	32957	32957	30384	30349	"Kruistuim"
"t3_7"	22201	22131	22131	22131	20367	20367	"Kruistuim"
"t3_8"	27794	27704	27704	27704	25107	25074	"Kruistuim"
"t3_9"	10854	10816	10816	10816	10017	9993	"Kruistuim"
"t4_10"	10938	10912	10912	10912	10229	10201	"Kruistuim"
"t4_11"	125221	124874	124874	124874	112446	112091	"Kruistuim"
"t4_12"	17739	17687	17687	17687	15500	15500	"Kruistuim"
"t4_13"	68688	68473	68473	68473	61307	61230	"Kruistuim"
"t4_14"	96637	96350	96350	96350	86300	86142	"Kruistuim"
"t4_15"	28765	28676	28676	28676	25871	25864	"Kruistuim"
"t4_16"	16771	16720	16720	16720	15507	15493	"Kruistuim"
"t4_17"	35362	35260	35260	35260	32185	32150	"Kruistuim"
"t4_18"	32491	32398	32398	32398	30067	30042	"Kruistuim"
"t4_19"	27377	27278	27278	27278	25467	25394	"Kruistuim"
"t4_20"	196002	195374	195374	195374	160383	160269	"Kruistuim"
"t4_21"	27814	27714	27714	27714	25221	25173	"Kruistuim"
"t4_22"	10109	10080	10080	10080	9281	9277	"Kruistuim"
"t4_23"	53141	52984	52984	52984	48021	47911	"Kruistuim"
"t4_24"	16203	16157	16157	16157	15299	15263	"Kruistuim"
"t4_9"	10422	10385	10385	10385	9973	9955	"Kruistuim"
"t5_10"	31410	31318	31318	31318	27317	27297	"Kruistuim"
"t5_11"	355651	354355	354355	354355	295808	295591	"Kruistuim"
"t5_12"	4753	4738	4738	4738	4484	4484	"Kruistuim"
"t5_13"	59556	59364	59364	59364	53504	53459	"Kruistuim"
"t5_14"	52626	52475	52475	52475	47521	47480	"Kruistuim"
"t5_15"	216522	215941	215941	215941	190778	190666	"Kruistuim"
"t5_16"	32448	32349	32349	32349	29258	29237	"Kruistuim"
"t5_17"	19135	19095	19095	19095	17770	17766	"Kruistuim"
"t5_18"	14843	14805	14805	14805	13871	13864	"Kruistuim"
"t5_19"	14787	14745	14745	14745	13248	13234	"Kruistuim"
"t5_1"	50108	49941	49941	49941	45385	45362	"Kruistuim"
"t5_20"	21348	21273	21273	21273	18846	18841	"Kruistuim"
"t5_21"	40573	40431	40431	40431	33848	33810	"Kruistuim"
"t5_22"	26533	26441	26441	26441	23230	23210	"Kruistuim"
"t5_23"	46173	46014	46014	46014	40114	40086	"Kruistuim"
"t5_24"	78890	78655	78655	78655	68001	67914	"Kruistuim"
"t5_2"	28996	28907	28907	28907	26518	26510	"Kruistuim"
"t5_4"	18269	18220	18220	18220	16810	16810	"Kruistuim"
"t5_5"	37682	37560	37560	37560	33826	33817	"Kruistuim"
"t5_7"	40639	40490	40490	40490	35531	35521	"Kruistuim"
"t5_8"	51527	51353	51353	51353	45664	45571	"Kruistuim"
"t5_9"	23750	23665	23665	23665	20813	20809	"Kruistuim"
"t6_10"	65121	64944	64944	64944	56353	56278	"Kruistuim"
"t6_11"	48829	48671	48671	48671	41617	41570	"Kruistuim"
"t6_12"	105272	104984	104984	104984	87132	87117	"Kruistuim"
"t6_13"	58095	57922	57922	57922	51723	51680	"Kruistuim"
"t6_14"	59380	59190	59190	59190	51235	51197	"Kruistuim"
"t6_15"	64667	64474	64474	64474	56643	56601	"Kruistuim"
"t6_16"	67618	67408	67408	67408	58911	58860	"Kruistuim"
"t6_17"	66310	66045	66045	66045	59429	59367	"Kruistuim"
"t6_18"	43365	43203	43203	43203	39222	39183	"Kruistuim"
"t6_19"	23896	23825	23825	23825	21330	21290	"Kruistuim"
"t6_1"	35278	35140	35140	35140	31781	31777	"Kruistuim"
"t6_20"	18349	18307	18307	18307	16618	16613	"Kruistuim"
"t6_21"	34396	34323	34323	34323	31426	31330	"Kruistuim"
"t6_22"	39072	38970	38970	38970	34190	34131	"Kruistuim"
"t6_23"	37032	36925	36925	36925	33066	33018	"Kruistuim"
"t6_24"	54341	54179	54179	54179	47072	46965	"Kruistuim"
"t6_2"	35048	34892	34892	34892	31315	31295	"Kruistuim"
"t6_3"	24547	24462	24462	24462	21919	21919	"Kruistuim"
"t6_4"	29168	29064	29064	29064	26779	26761	"Kruistuim"
"t6_5"	39190	39050	39050	39050	35105	35058	"Kruistuim"
"t6_6"	61894	61681	61681	61681	52330	52270	"Kruistuim"
"t6_7"	79469	79199	79199	79199	66660	66563	"Kruistuim"
"t6_8"	48242	48104	48104	48104	42820	42790	"Kruistuim"
"t6_9"	36750	36647	36647	36647	32365	32361	"Kruistuim"
"t7_10"	59902	59712	59712	59712	53657	53489	"Kruistuim"
"t7_12"	106564	106296	106296	106296	88657	88612	"Kruistuim"
"t7_13"	84714	84489	84489	84489	77794	77576	"Kruistuim"
"t7_14"	50195	50039	50039	50039	45324	45233	"Kruistuim"
"t7_15"	44145	43998	43998	43998	40352	40276	"Kruistuim"
"t7_16"	60584	60376	60376	60376	55095	55002	"Kruistuim"
"t7_17"	52319	52150	52150	52150	47897	47796	"Kruistuim"
"t7_19"	132805	132402	132402	132402	117539	117313	"Kruistuim"
"t7_1"	116794	116442	116442	116442	102835	102611	"Kruistuim"
"t7_21"	29076	28982	28982	28982	26176	26099	"Kruistuim"
"t7_22"	14263	14210	14210	14210	13030	12992	"Kruistuim"
"t7_24"	55970	55818	55818	55818	49850	49585	"Kruistuim"
"t7_6"	15758	15719	15719	15719	14970	14951	"Kruistuim"
"t8_10"	3266	3255	3255	3255	3210	3208	"Kruistuim"
"t8_12"	1529	1525	1525	1525	1525	1525	"Kruistuim"
"t8_13"	273782	272772	272772	272772	240639	240465	"Kruistuim"
"t8_15"	71471	71283	71283	71283	65751	65600	"Kruistuim"
"t8_16"	43598	43435	43435	43435	39945	39870	"Kruistuim"
"t8_17"	50104	49898	49898	49898	45390	45326	"Kruistuim"
"t8_18"	94639	94339	94339	94339	85555	85409	"Kruistuim"
"t8_20"	67878	67595	67595	67595	56953	56922	"Kruistuim"
"t8_21"	46640	46474	46474	46474	41025	40881	"Kruistuim"
"t8_22"	11202	11164	11164	11164	10317	10279	"Kruistuim"
"t8_24"	63736	63540	63540	63540	55490	55366	"Kruistuim"
"t8_2"	226088	225338	225338	225338	201930	200873	"Kruistuim"
"t8_3"	43058	42891	42891	42891	38023	37990	"Kruistuim"
"t8_4"	41498	41352	41352	41352	37735	37668	"Kruistuim"
"t8_5"	21483	21416	21416	21416	20015	19988	"Kruistuim"
"t8_6"	82421	82127	82127	82127	73563	73464	"Kruistuim"
"t8_7"	46802	46651	46651	46651	41644	41534	"Kruistuim"
"t8_8"	25260	25192	25192	25192	22886	22799	"Kruistuim"
"t9_10"	36068	35968	35968	35968	32065	32023	"Kruistuim"
"t9_11"	30310	30217	30217	30217	27216	27165	"Kruistuim"
"t9_12"	48326	48211	48211	48211	40384	40363	"Kruistuim"
"t9_14"	45394	45277	45277	45277	41798	41771	"Kruistuim"
"t9_15"	46075	45925	45925	45925	42817	42811	"Kruistuim"
"t9_16"	38247	38150	38150	38150	34767	34756	"Kruistuim"
"t9_17"	29066	28963	28963	28963	26366	26349	"Kruistuim"
"t9_18"	6835	6814	6814	6814	6568	6568	"Kruistuim"
"t9_19"	29973	29881	29881	29881	26758	26743	"Kruistuim"
"t9_20"	28299	28209	28209	28209	25095	25095	"Kruistuim"
"t9_21"	47550	47429	47429	47429	41374	41300	"Kruistuim"
"t9_22"	30247	30174	30174	30174	26150	26139	"Kruistuim"
"t9_24"	65661	65468	65468	65468	56279	56182	"Kruistuim"
"t9_2"	20705	20633	20633	20633	18965	18923	"Kruistuim"
"t9_3"	16063	16008	16008	16008	15003	15003	"Kruistuim"
"t9_4"	28772	28710	28710	28710	26730	26655	"Kruistuim"
"t9_5"	28379	28309	28309	28309	25778	25737	"Kruistuim"
"t9_9"	31755	31605	31605	31605	28226	28152	"Kruistuim"
