"Original.Reads"	"Filtered.Reads"	"Denoised.Reads"	"tabled"	"Non.chimeric.Reads"	"pseq"	"study"
"LD282.fwd"	136178	126200	126200	126200	120197	120188	"David"
"LD283.fwd"	80646	69830	69830	69830	66711	66687	"David"
"LD284.fwd"	76077	63457	63457	63457	59177	59177	"David"
"LD285.fwd"	58705	48810	48810	48810	45630	45428	"David"
"LD286.fwd"	55736	47910	47910	47910	46276	46276	"David"
"LD287.fwd"	152092	127659	127659	127659	120850	120835	"David"
"LD288.fwd"	97400	79805	79805	79805	75463	75455	"David"
"LD289.fwd"	90229	72452	72452	72452	67808	67800	"David"
"LD290.fwd"	93664	77477	77477	77477	71381	71378	"David"
"LD291.fwd"	92675	80820	80820	80820	78040	78020	"David"
"LD292.fwd"	62796	51792	51792	51792	48373	48354	"David"
"LD293.fwd"	55446	45602	45602	45602	44236	44236	"David"
"LD296.fwd"	82296	69690	69690	69690	64713	64708	"David"
"LD297.fwd"	55654	47841	47841	47841	44782	44777	"David"
"LD298.fwd"	61729	51694	51694	51694	49592	49588	"David"
"LD299.fwd"	84617	74700	74700	74700	71379	71379	"David"
"LD300.fwd"	81889	67283	67283	67283	64639	64631	"David"
"LD301.fwd"	79671	70778	70778	70778	65032	65032	"David"
"LD302.fwd"	105887	83739	83739	83739	78414	78414	"David"
"LD303.fwd"	95802	79651	79651	79651	74391	74391	"David"
"LD304.fwd"	160685	129503	129503	129503	121186	121147	"David"
"LD305.fwd"	143912	128839	128839	128839	122749	122749	"David"
"LD306.fwd"	94852	79888	79888	79888	77824	77824	"David"
"LD307.fwd"	85866	73967	73967	73967	70169	70169	"David"
"LD308.fwd"	129533	103545	103545	103545	99067	99063	"David"
"LD309.fwd"	132426	113494	113494	113494	109889	109889	"David"
"LD310.fwd"	67098	56885	56885	56885	55230	55230	"David"
"LD311.fwd"	142270	113244	113244	113244	108766	108766	"David"
"LD3.fwd"	233393	207976	207976	207976	205402	204345	"David"
"LD4.fwd"	246332	220043	220043	220043	214792	206545	"David"
"LD5.fwd"	187105	159694	159694	159694	152437	109604	"David"
"LD6.fwd"	203996	168565	168565	168565	156328	156162	"David"
"LD7.fwd"	254073	218118	218118	218118	198443	190751	"David"
"LD8.fwd"	211729	176063	176063	176063	159851	159838	"David"
"LD9.fwd"	231083	170165	170165	170165	154802	154798	"David"
"PreRx27.fwd"	352133	321086	321086	321086	302597	302549	"David"
"PreRx28.fwd"	323659	272132	272132	272132	245787	245727	"David"
"PreRx29.fwd"	389966	352727	352727	352727	337102	331309	"David"
"PreRx30.fwd"	405040	373743	373743	373743	343246	335654	"David"
"PreRx31.fwd"	477306	444372	444372	444372	429202	429015	"David"
"PreRx32.fwd"	432064	396579	396579	396579	358487	355984	"David"
"PreRx33.fwd"	348357	320154	320154	320154	299618	299607	"David"
"PreRx34.fwd"	358740	330747	330747	330747	295006	290595	"David"
"PreRx35.fwd"	374907	344069	344069	344069	330820	330665	"David"
"PreRx36.fwd"	466796	431929	431929	431929	425869	425860	"David"
