"Original.Reads"	"Filtered.Reads"	"Denoised.Reads"	"tabled"	"Non.chimeric.Reads"	"pseq"	"study"
"SRR2044404_1"	43311	43309	43309	43309	42961	42961	"Seekatz"
"SRR2044405_1"	37932	37930	37930	37930	37512	37512	"Seekatz"
"SRR2044406_1"	40314	40311	40311	40311	39842	39842	"Seekatz"
"SRR2044407_1"	44899	44892	44892	44892	44476	44476	"Seekatz"
"SRR2044408_1"	63462	63459	63459	63459	63344	63344	"Seekatz"
"SRR2044409_1"	33259	33255	33255	33255	33144	33144	"Seekatz"
"SRR2044410_1"	49448	49442	49442	49442	49432	49432	"Seekatz"
"SRR2044411_1"	35926	35925	35925	35925	35847	35845	"Seekatz"
"SRR2044412_1"	20444	20444	20444	20444	20406	20406	"Seekatz"
"SRR2044413_1"	39227	39224	39224	39224	39181	39181	"Seekatz"
"SRR2044414_1"	22334	22332	22332	22332	22332	22332	"Seekatz"
"SRR2044415_1"	27758	27756	27756	27756	27544	27544	"Seekatz"
"SRR2044416_1"	55210	55204	55204	55204	54583	54583	"Seekatz"
"SRR2044417_1"	51955	51951	51951	51951	51692	51692	"Seekatz"
"SRR2044418_1"	42360	42354	42354	42354	42041	42041	"Seekatz"
"SRR2044419_1"	45311	45307	45307	45307	45307	45307	"Seekatz"
"SRR2044420_1"	42900	42898	42898	42898	42891	42891	"Seekatz"
"SRR2044421_1"	34361	34356	34356	34356	33578	33578	"Seekatz"
"SRR2044422_1"	42021	42019	42019	42019	41909	41907	"Seekatz"
"SRR2044423_1"	31970	31967	31967	31967	31900	31900	"Seekatz"
"SRR2044424_1"	27237	27234	27234	27234	27205	27205	"Seekatz"
"SRR2044425_1"	24068	24065	24065	24065	23754	23754	"Seekatz"
"SRR2044426_1"	91153	91151	91151	91151	90226	90226	"Seekatz"
"SRR2044427_1"	40158	40152	40152	40152	40034	40034	"Seekatz"
"SRR2044428_1"	52665	52661	52661	52661	52143	52143	"Seekatz"
"SRR2044429_1"	37142	37142	37142	37142	37131	37131	"Seekatz"
"SRR2044430_1"	51207	51202	51202	51202	50969	50969	"Seekatz"
"SRR2044431_1"	43983	43979	43979	43979	43519	43519	"Seekatz"
"SRR2044432_1"	38510	38507	38507	38507	38394	38394	"Seekatz"
"SRR2044433_1"	61269	61265	61265	61265	61105	61105	"Seekatz"
"SRR2044434_1"	31936	31935	31935	31935	31871	31871	"Seekatz"
"SRR2044435_1"	23895	23895	23895	23895	23824	23824	"Seekatz"
"SRR2044436_1"	48894	48890	48890	48890	48228	48228	"Seekatz"
"SRR2044437_1"	29460	29459	29459	29459	29410	29410	"Seekatz"
"SRR2044438_1"	21777	21773	21773	21773	21743	21743	"Seekatz"
"SRR2044439_1"	33613	33612	33612	33612	33294	33294	"Seekatz"
"SRR2044440_1"	44873	44867	44867	44867	44434	44434	"Seekatz"
"SRR2044441_1"	34300	34295	34295	34295	34138	34138	"Seekatz"
"SRR2044442_1"	41416	41411	41411	41411	41045	41045	"Seekatz"
"SRR2044443_1"	34056	34052	34052	34052	34052	34052	"Seekatz"
"SRR2044444_1"	67507	67502	67502	67502	67352	67323	"Seekatz"
"SRR2044445_1"	54930	54924	54924	54924	54408	54408	"Seekatz"
"SRR2044446_1"	34771	34771	34771	34771	34738	34736	"Seekatz"
"SRR2044447_1"	25923	25923	25923	25923	25880	25880	"Seekatz"
"SRR2044448_1"	38773	38770	38770	38770	38516	38516	"Seekatz"
"SRR2044449_1"	28378	28376	28376	28376	28203	28203	"Seekatz"
"SRR2044450_1"	36325	36320	36320	36320	36074	36074	"Seekatz"
"SRR2044451_1"	27217	27217	27217	27217	27217	27217	"Seekatz"
"SRR2044452_1"	51387	51382	51382	51382	51203	51201	"Seekatz"
"SRR2044453_1"	33958	33955	33955	33955	33633	33615	"Seekatz"
"SRR2044454_1"	33052	33049	33049	33049	32990	32987	"Seekatz"
"SRR2044455_1"	21276	21275	21275	21275	21256	21254	"Seekatz"
"SRR2044456_1"	36972	36972	36972	36972	36922	36922	"Seekatz"
"SRR2044457_1"	15850	15848	15848	15848	15840	15840	"Seekatz"
"SRR2044458_1"	30910	30909	30909	30909	30909	30909	"Seekatz"
"SRR2044459_1"	34878	34875	34875	34875	34334	34334	"Seekatz"
"SRR2044460_1"	46261	46254	46254	46254	45490	45490	"Seekatz"
"SRR2044461_1"	51254	51246	51246	51246	50737	50737	"Seekatz"
"SRR2044462_1"	35109	35109	35109	35109	34998	34998	"Seekatz"
"SRR2044463_1"	61072	61067	61067	61067	60760	60760	"Seekatz"
"SRR2044464_1"	47417	47415	47415	47415	46934	46934	"Seekatz"
"SRR2044465_1"	40508	40507	40507	40507	40492	40492	"Seekatz"
"SRR2044466_1"	56444	56436	56436	56436	56425	56425	"Seekatz"
"SRR2044467_1"	31215	31214	31214	31214	31188	31188	"Seekatz"
"SRR2044468_1"	16526	16526	16526	16526	16501	16501	"Seekatz"
"SRR2044469_1"	14712	14710	14710	14710	14688	14688	"Seekatz"
"SRR2044470_1"	33446	33442	33442	33442	32951	32951	"Seekatz"
"SRR2044471_1"	32349	32344	32344	32344	31906	31906	"Seekatz"
"SRR2044472_1"	45507	45501	45501	45501	45016	45016	"Seekatz"
"SRR2044473_1"	30973	30972	30972	30972	30972	30972	"Seekatz"
"SRR2044474_1"	52043	52038	52038	52038	51797	51797	"Seekatz"
"SRR2044475_1"	58264	58262	58262	58262	57405	57405	"Seekatz"
"SRR2044476_1"	27629	27627	27627	27627	27605	27605	"Seekatz"
"SRR2044477_1"	54193	54193	54193	54193	54193	54191	"Seekatz"
"SRR2044478_1"	26065	26060	26060	26060	26012	26012	"Seekatz"
"SRR2044479_1"	23536	23532	23532	23532	23521	23521	"Seekatz"
"SRR2044480_1"	56972	56969	56969	56969	56399	56399	"Seekatz"
"SRR2044481_1"	44419	44415	44415	44415	43950	43950	"Seekatz"
"SRR2044482_1"	54065	54062	54062	54062	52640	52640	"Seekatz"
"SRR2044483_1"	59497	59493	59493	59493	59068	59068	"Seekatz"
"SRR2044484_1"	34259	34258	34258	34258	34215	34215	"Seekatz"
"SRR2044485_1"	54320	54317	54317	54317	54247	54247	"Seekatz"
"SRR2044486_1"	43666	43662	43662	43662	43124	43124	"Seekatz"
"SRR2044487_1"	23523	23522	23522	23522	23502	23502	"Seekatz"
"SRR2044488_1"	17280	17280	17280	17280	17280	17280	"Seekatz"
"SRR2044489_1"	61907	61903	61903	61903	61454	61454	"Seekatz"
"SRR2044490_1"	66292	66286	66286	66286	65913	65913	"Seekatz"
"SRR2044491_1"	39474	39470	39470	39470	38746	38746	"Seekatz"
"SRR2044492_1"	33539	33536	33536	33536	33257	33257	"Seekatz"
"SRR2044493_1"	44886	44882	44882	44882	44869	44869	"Seekatz"
"SRR2044494_1"	49738	49734	49734	49734	49474	49474	"Seekatz"
"SRR2044495_1"	47169	47167	47167	47167	46858	46858	"Seekatz"
"SRR2044496_1"	52932	52927	52927	52927	52774	52771	"Seekatz"
"SRR2044497_1"	27790	27789	27789	27789	27738	27738	"Seekatz"
"SRR2044498_1"	30978	30974	30974	30974	30905	30905	"Seekatz"
"SRR2044499_1"	30245	30244	30244	30244	30238	30238	"Seekatz"
"SRR2044500_1"	28638	28637	28637	28637	28524	28524	"Seekatz"
"SRR2044501_1"	62085	62083	62083	62083	61865	61865	"Seekatz"
"SRR2044502_1"	28918	28916	28916	28916	28911	28911	"Seekatz"
"SRR2044503_1"	16492	16492	16492	16492	16492	16492	"Seekatz"
"SRR2044504_1"	23398	23395	23395	23395	23276	23276	"Seekatz"
"SRR2044505_1"	41410	41404	41404	41404	40859	40859	"Seekatz"
"SRR2044506_1"	51467	51461	51461	51461	50921	50921	"Seekatz"
"SRR2044507_1"	29824	29822	29822	29822	29728	29728	"Seekatz"
"SRR2044508_1"	40352	40350	40350	40350	40340	40340	"Seekatz"
"SRR2044509_1"	51634	51629	51629	51629	51511	51511	"Seekatz"
"SRR2044510_1"	36656	36655	36655	36655	36350	36350	"Seekatz"
"SRR2044511_1"	50372	50368	50368	50368	50270	50270	"Seekatz"
"SRR2044512_1"	35146	35145	35145	35145	35135	35135	"Seekatz"
"SRR2044513_1"	18148	18148	18148	18148	18148	18148	"Seekatz"
"SRR2044514_1"	28186	28182	28182	28182	28182	28182	"Seekatz"
"SRR2044515_1"	32924	32922	32922	32922	32581	32581	"Seekatz"
"SRR2044516_1"	38929	38926	38926	38926	38703	38700	"Seekatz"
"SRR2044517_1"	35850	35847	35847	35847	35741	35741	"Seekatz"
"SRR2044518_1"	27653	27652	27652	27652	27652	27652	"Seekatz"
"SRR2044519_1"	36783	36775	36775	36775	36675	36675	"Seekatz"
"SRR2044520_1"	65085	65082	65082	65082	64397	64397	"Seekatz"
"SRR2044521_1"	31899	31895	31895	31895	31883	31883	"Seekatz"
