"Original.Reads"	"Filtered.Reads"	"Denoised.Reads"	"tabled"	"Non.chimeric.Reads"	"pseq"	"study"
"SRR2062867_1"	122630	121719	121719	121719	112796	107755	"Vaquer"
"SRR2062868_1"	227675	226426	226426	226426	208980	203183	"Vaquer"
"SRR2062869_1"	250667	246133	246133	246133	210802	151607	"Vaquer"
"SRR2062870_1"	334291	332131	332131	332131	320232	310812	"Vaquer"
"SRR2062871_1"	142534	141630	141630	141630	132041	128079	"Vaquer"
"SRR2062872_1"	70593	69808	69808	69808	63759	57130	"Vaquer"
"SRR2062873_1"	130974	130174	130174	130174	121673	119228	"Vaquer"
"SRR2062874_1"	317593	315841	315841	315841	296783	288410	"Vaquer"
"SRR2062875_1"	244110	239725	239725	239725	211102	158341	"Vaquer"
"SRR2062876_1"	207905	206761	206761	206761	198552	193674	"Vaquer"
"SRR2062877_1"	105562	104747	104747	104747	97152	92526	"Vaquer"
"SRR2062878_1"	74887	74064	74064	74064	67961	60763	"Vaquer"
"SRR2062879_1"	220118	218460	218460	218460	205740	192387	"Vaquer"
"SRR2062880_1"	280595	278403	278403	278403	236626	218210	"Vaquer"
"SRR2062881_1"	306121	300203	300203	300203	256684	183727	"Vaquer"
"SRR2062882_1"	114502	111264	111264	111264	89708	46094	"Vaquer"
"SRR2062883_1"	229809	228458	228458	228458	219437	212443	"Vaquer"
"SRR2062884_1"	101933	101120	101120	101120	94553	88311	"Vaquer"
"SRR2062885_1"	139688	138868	138868	138868	132962	129094	"Vaquer"
"SRR2062886_1"	227999	226918	226918	226918	216304	211715	"Vaquer"
"SRR2062887_1"	275469	270686	270686	270686	237958	180753	"Vaquer"
"SRR2062888_1"	130302	129577	129577	129577	124483	122551	"Vaquer"
"SRR2062889_1"	150743	149996	149996	149996	142761	140607	"Vaquer"
"SRR2062890_1"	328071	316961	316961	316961	307184	62425	"Vaquer"
"SRR2062891_1"	349384	344327	344327	344327	329337	249408	"Vaquer"
"SRR2062892_1"	183831	182694	182694	182694	172833	168324	"Vaquer"
"SRR2062893_1"	322488	313934	313934	313934	299760	107924	"Vaquer"
"SRR2062894_1"	281268	272200	272200	272200	271055	65514	"Vaquer"
"SRR2062895_1"	271058	264489	264489	264489	233818	121671	"Vaquer"
"SRR2062896_1"	372852	362194	362194	362194	360612	136816	"Vaquer"
"SRR2062897_1"	180474	178993	178993	178993	171604	160305	"Vaquer"
"SRR2062898_1"	263155	261082	261082	261082	244064	230413	"Vaquer"
"SRR2062899_1"	392570	380586	380586	380586	373047	107262	"Vaquer"
"SRR2062900_1"	291091	281221	281221	281221	276039	52190	"Vaquer"
"SRR2062901_1"	254473	248270	248270	248270	219185	110340	"Vaquer"
"SRR2062902_1"	329339	318896	318896	318896	315884	87196	"Vaquer"
