"Original.Reads"	"Filtered.Reads"	"Denoised.Reads"	"tabled"	"Non.chimeric.Reads"	"pseq"	"study"
"SRR3053320_1"	44683	44674	44674	44674	44317	44317	"Venkataraman"
"SRR3053321_1"	43385	43380	43380	43380	43100	43098	"Venkataraman"
"SRR3053322_1"	34556	34553	34553	34553	33850	33850	"Venkataraman"
"SRR3053323_1"	42304	42299	42299	42299	41761	41761	"Venkataraman"
"SRR3053324_1"	55436	55430	55430	55430	54641	54641	"Venkataraman"
"SRR3053325_1"	58825	58823	58823	58823	58190	58190	"Venkataraman"
"SRR3053326_1"	38418	38415	38415	38415	38176	38176	"Venkataraman"
"SRR3053327_1"	57821	57812	57812	57812	57227	57227	"Venkataraman"
"SRR3053328_1"	48168	48161	48161	48161	47416	47416	"Venkataraman"
"SRR3053329_1"	38378	38373	38373	38373	37788	37786	"Venkataraman"
"SRR3053330_1"	56559	56557	56557	56557	56036	56036	"Venkataraman"
"SRR3053331_1"	59125	59121	59121	59121	58329	58329	"Venkataraman"
"SRR3053332_1"	31410	31409	31409	31409	30875	30875	"Venkataraman"
"SRR3053333_1"	36607	36603	36603	36603	36412	36412	"Venkataraman"
"SRR3053334_1"	46163	46158	46158	46158	45952	45952	"Venkataraman"
"SRR3053335_1"	22184	22181	22181	22181	21957	21957	"Venkataraman"
"SRR3053336_1"	40394	40390	40390	40390	40104	40099	"Venkataraman"
"SRR3053337_1"	40369	40366	40366	40366	40035	40035	"Venkataraman"
"SRR3053338_1"	52555	52548	52548	52548	52366	52366	"Venkataraman"
"SRR3053339_1"	36239	36230	36230	36230	36010	36010	"Venkataraman"
"SRR3053340_1"	37305	37295	37295	37295	37136	37136	"Venkataraman"
"SRR3053341_1"	53423	53422	53422	53422	52960	52960	"Venkataraman"
"SRR3053342_1"	47376	47373	47373	47373	47002	47002	"Venkataraman"
"SRR3053343_1"	40897	40893	40893	40893	40437	40437	"Venkataraman"
"SRR3053344_1"	57812	57809	57809	57809	57703	57703	"Venkataraman"
"SRR3053345_1"	18907	18905	18905	18905	18603	18603	"Venkataraman"
"SRR3053346_1"	44710	44707	44707	44707	43887	43887	"Venkataraman"
"SRR3053347_1"	30015	30013	30013	30013	29998	29998	"Venkataraman"
"SRR3053348_1"	36565	36557	36557	36557	35938	35938	"Venkataraman"
"SRR3053349_1"	46750	46748	46748	46748	46399	46399	"Venkataraman"
"SRR3053350_1"	51512	51512	51512	51512	51059	51059	"Venkataraman"
"SRR3053351_1"	53422	53419	53419	53419	52887	52887	"Venkataraman"
"SRR3053352_1"	29346	29344	29344	29344	29227	29227	"Venkataraman"
"SRR3053353_1"	46486	46480	46480	46480	46359	46359	"Venkataraman"
"SRR3053354_1"	30623	30620	30620	30620	30544	30544	"Venkataraman"
"SRR3053355_1"	29491	29491	29491	29491	29482	29482	"Venkataraman"
"SRR3053356_1"	38271	38265	38265	38265	37993	37993	"Venkataraman"
"SRR3053357_1"	29110	29101	29101	29101	29080	29062	"Venkataraman"
"SRR3053358_1"	40957	40950	40950	40950	40909	40889	"Venkataraman"
"SRR3053359_1"	55362	55354	55354	55354	55258	55216	"Venkataraman"
"SRR3053360_1"	29353	29350	29350	29350	29281	29252	"Venkataraman"
"SRR3053361_1"	36657	36654	36654	36654	36641	36595	"Venkataraman"
"SRR3053362_1"	34013	34011	34011	34011	34004	33897	"Venkataraman"
"SRR3053380_1"	21682	21680	21680	21680	21680	21657	"Venkataraman"
"SRR3053386_1"	28861	28858	28858	28858	28855	28665	"Venkataraman"
"SRR3053387_1"	48335	48330	48330	48330	47578	47578	"Venkataraman"
"SRR3053388_1"	38249	38247	38247	38247	37604	37604	"Venkataraman"
"SRR3053389_1"	51582	51575	51575	51575	50791	50791	"Venkataraman"
"SRR3053390_1"	41410	41404	41404	41404	40690	40690	"Venkataraman"
"SRR3053391_1"	30515	30511	30511	30511	30072	30072	"Venkataraman"
"SRR3053392_1"	52834	52827	52827	52827	52555	52555	"Venkataraman"
"SRR3053393_1"	43334	43327	43327	43327	43190	43190	"Venkataraman"
"SRR3053410_1"	47930	47927	47927	47927	46843	46843	"Venkataraman"
"SRR3053411_1"	57678	57675	57675	57675	56322	56316	"Venkataraman"
"SRR3053434_1"	48830	48826	48826	48826	47857	47857	"Venkataraman"
"SRR3053458_1"	33810	33808	33808	33808	33077	33077	"Venkataraman"
"SRR3053459_1"	6670	6670	6670	6670	6476	6476	"Venkataraman"
"SRR3053460_1"	32422	32420	32420	32420	32017	32017	"Venkataraman"
"SRR3053461_1"	46543	46539	46539	46539	45310	45310	"Venkataraman"
"SRR3053462_1"	41001	40998	40998	40998	40462	40439	"Venkataraman"
"SRR3053463_1"	44269	44264	44264	44264	43742	43689	"Venkataraman"
"SRR3053488_1"	38115	38109	38109	38109	37536	37508	"Venkataraman"
"SRR3053489_1"	53936	53933	53933	53933	53215	53080	"Venkataraman"
"SRR3053511_1"	13340	13340	13340	13340	13047	13043	"Venkataraman"
"SRR3053512_1"	50516	50513	50513	50513	49746	49702	"Venkataraman"
"SRR3053535_1"	25283	25279	25279	25279	24969	24955	"Venkataraman"
"SRR3053536_1"	43079	43077	43077	43077	42423	42382	"Venkataraman"
"SRR3053537_1"	45746	45741	45741	45741	45245	45245	"Venkataraman"
"SRR3053538_1"	34766	34761	34761	34761	34317	34315	"Venkataraman"
"SRR3053539_1"	44067	44061	44061	44061	43448	43448	"Venkataraman"
"SRR3053540_1"	38081	38076	38076	38076	37630	37630	"Venkataraman"
"SRR3053541_1"	27227	27226	27226	27226	27226	27226	"Venkataraman"
"SRR3053542_1"	43637	43636	43636	43636	43219	43219	"Venkataraman"
"SRR3053543_1"	27378	27375	27375	27375	27097	27097	"Venkataraman"
"SRR3053544_1"	35204	35200	35200	35200	34949	34949	"Venkataraman"
