"Original.Reads"	"Filtered.Reads"	"Denoised.Reads"	"tabled"	"Non.chimeric.Reads"	"pseq"	"study"
"SRR6668438_1"	49959	49947	49947	49947	47871	47844	"study"
"SRR6668439_1"	51568	51530	51530	51530	49237	49215	"study"
"SRR6668440_1"	49320	49294	49294	49294	48776	48770	"study"
"SRR6668441_1"	55055	55012	55012	55012	53640	53626	"study"
"SRR6668442_1"	60198	60164	60164	60164	59242	59236	"study"
"SRR6668443_1"	41561	41553	41553	41553	41021	41014	"study"
"SRR6668444_1"	37708	37696	37696	37696	37198	37187	"study"
"SRR6668445_1"	37564	37544	37544	37544	36707	36701	"study"
"SRR6668446_1"	29930	29916	29916	29916	28751	28745	"study"
"SRR6668447_1"	56966	56954	56954	56954	55508	55490	"study"
"SRR6668448_1"	58696	58678	58678	58678	57028	57026	"study"
"SRR6668449_1"	34970	34960	34960	34960	34297	34278	"study"
"SRR6668450_1"	44920	44895	44895	44895	44268	44256	"study"
"SRR6668451_1"	48222	48205	48205	48205	47794	47730	"study"
"SRR6668452_1"	50997	50966	50966	50966	50270	50247	"study"
"SRR6668453_1"	41063	41046	41046	41046	38002	37960	"study"
"SRR6668454_1"	46615	46600	46600	46600	44181	44153	"study"
"SRR6668455_1"	34289	34275	34275	34275	33901	33881	"study"
"SRR6668456_1"	50742	50717	50717	50717	48341	48000	"study"
"SRR6668457_1"	40975	40952	40952	40952	40727	40695	"study"
"SRR6668458_1"	45303	45282	45282	45282	45059	45047	"study"
"SRR6668459_1"	52865	52858	52858	52858	51557	51557	"study"
"SRR6668460_1"	45149	45138	45138	45138	43997	43987	"study"
"SRR6668461_1"	41964	41957	41957	41957	41118	41103	"study"
"SRR6668462_1"	45591	45581	45581	45581	44972	44961	"study"
"SRR6668463_1"	34085	34061	34061	34061	32817	32799	"study"
"SRR6668464_1"	30479	30467	30467	30467	29815	29786	"study"
"SRR6668465_1"	43675	43659	43659	43659	42810	42769	"study"
"SRR6668466_1"	29256	29248	29248	29248	28731	28704	"study"
"SRR6668467_1"	45158	45144	45144	45144	43911	43878	"study"
"SRR6668468_1"	49282	49264	49264	49264	47974	47962	"study"
"SRR6668469_1"	54341	54331	54331	54331	52967	52964	"study"
"SRR6668470_1"	75078	75051	75051	75051	72070	72043	"study"
"SRR6668471_1"	50551	50529	50529	50529	49039	49013	"study"
"SRR6668472_1"	34808	34795	34795	34795	34387	34304	"study"
"SRR6668473_1"	41053	41033	41033	41033	40346	40301	"study"
"SRR6668474_1"	34942	34920	34920	34920	34656	34652	"study"
"SRR6668475_1"	51646	51633	51633	51633	50136	50127	"study"
"SRR6668476_1"	47587	47564	47564	47564	47048	47022	"study"
"SRR6668477_1"	48304	48289	48289	48289	47323	47264	"study"
"SRR6668478_1"	47588	47573	47573	47573	44045	44008	"study"
"SRR6668479_1"	59160	59146	59146	59146	57143	57143	"study"
"SRR6668480_1"	40786	40769	40769	40769	40389	40352	"study"
"SRR6668481_1"	39721	39707	39707	39707	39297	39280	"study"
"SRR6668482_1"	66248	66227	66227	66227	65245	65232	"study"
"SRR6668483_1"	37035	37021	37021	37021	36524	36496	"study"
"SRR6668484_1"	41435	41419	41419	41419	40625	40575	"study"
"SRR6668485_1"	64401	64381	64381	64381	62756	62754	"study"
"SRR6668486_1"	39283	39273	39273	39273	38268	38256	"study"
