"Original.Reads"	"Filtered.Reads"	"Denoised.Reads"	"tabled"	"Non.chimeric.Reads"	"pseq"	"study"
"276.196_R1"	28815	28790	28790	28790	28563	28530	"Jurburg_Pig"
"276.197_R1"	47732	47707	47707	47707	47242	44955	"Jurburg_Pig"
"276.198_R1"	13707	13704	13704	13704	13661	13243	"Jurburg_Pig"
"276.199_R1"	14817	14815	14815	14815	14651	14159	"Jurburg_Pig"
"276.200_R1"	13203	13198	13198	13198	13111	12885	"Jurburg_Pig"
"276.201_R1"	12615	12611	12611	12611	12490	12328	"Jurburg_Pig"
"276.202_R1"	10485	10482	10482	10482	10463	9161	"Jurburg_Pig"
"276.205_R1"	19110	19103	19103	19103	19012	18683	"Jurburg_Pig"
"276.206_R1"	14088	14080	14080	14080	13752	13684	"Jurburg_Pig"
"276.207_R1"	16156	16151	16151	16151	15927	15829	"Jurburg_Pig"
"276.208_R1"	15836	15829	15829	15829	15779	15374	"Jurburg_Pig"
"276.209_R1"	39463	39444	39444	39444	38731	37852	"Jurburg_Pig"
"276.210_R1"	34218	34210	34210	34210	33351	31571	"Jurburg_Pig"
"276.211_R1"	19003	18994	18994	18994	18751	18364	"Jurburg_Pig"
"276.212_R1"	13886	13879	13879	13879	13579	13544	"Jurburg_Pig"
"276.213_R1"	22144	22139	22139	22139	21852	20739	"Jurburg_Pig"
"276.214_R1"	9687	9684	9684	9684	9650	9002	"Jurburg_Pig"
"276.217_R1"	18474	18460	18460	18460	18418	18143	"Jurburg_Pig"
"276.218_R1"	12557	12551	12551	12551	12529	12375	"Jurburg_Pig"
"276.219_R1"	17689	17678	17678	17678	17574	17427	"Jurburg_Pig"
"276.220_R1"	14386	14372	14372	14372	14312	14250	"Jurburg_Pig"
"276.221_R1"	19075	19065	19065	19065	18981	18776	"Jurburg_Pig"
"276.222_R1"	13810	13799	13799	13799	13799	13523	"Jurburg_Pig"
"276.223_R1"	24626	24616	24616	24616	24198	23681	"Jurburg_Pig"
"276.224_R1"	24119	24110	24110	24110	23674	23492	"Jurburg_Pig"
"276.225_R1"	29081	29064	29064	29064	28237	27973	"Jurburg_Pig"
"276.226_R1"	13459	13456	13456	13456	13447	13151	"Jurburg_Pig"
"276.229_R1"	18214	18210	18210	18210	17976	17248	"Jurburg_Pig"
"276.230_R1"	10801	10798	10798	10798	10528	10286	"Jurburg_Pig"
"276.231_R1"	24384	24372	24372	24372	24125	23251	"Jurburg_Pig"
"276.232_R1"	9900	9896	9896	9896	9795	9631	"Jurburg_Pig"
"276.233_R1"	21163	21146	21146	21146	21105	19951	"Jurburg_Pig"
"276.234_R1"	18013	18009	18009	18009	17813	17215	"Jurburg_Pig"
"276.235_R1"	21355	21339	21339	21339	20827	20197	"Jurburg_Pig"
"276.236_R1"	9074	9068	9068	9068	9006	8589	"Jurburg_Pig"
"276.237_R1"	17183	17180	17180	17180	16837	16421	"Jurburg_Pig"
"276.238_R1"	8820	8815	8815	8815	8798	8025	"Jurburg_Pig"
"276.241_R1"	19447	19442	19442	19442	19176	18109	"Jurburg_Pig"
"276.242_R1"	15917	15909	15909	15909	15532	15372	"Jurburg_Pig"
"276.243_R1"	17964	17957	17957	17957	17381	17262	"Jurburg_Pig"
"276.244_R1"	18726	18721	18721	18721	18577	17589	"Jurburg_Pig"
"276.245_R1"	23389	23384	23384	23384	22932	21669	"Jurburg_Pig"
"276.246_R1"	10203	10202	10202	10202	10171	9789	"Jurburg_Pig"
"276.247_R1"	28276	28251	28251	28251	27317	26824	"Jurburg_Pig"
"276.248_R1"	9849	9845	9845	9845	9786	9629	"Jurburg_Pig"
"276.249_R1"	10618	10615	10615	10615	10366	10053	"Jurburg_Pig"
"276.250_R1"	13249	13245	13245	13245	13097	12515	"Jurburg_Pig"
"276.253_R1"	13015	13008	13008	13008	12880	12611	"Jurburg_Pig"
"276.254_R1"	10275	10272	10272	10272	10183	10004	"Jurburg_Pig"
"276.255_R1"	12346	12342	12342	12342	12255	12116	"Jurburg_Pig"
"276.256_R1"	15507	15494	15494	15494	15382	15206	"Jurburg_Pig"
"276.257_R1"	13719	13709	13709	13709	13668	13549	"Jurburg_Pig"
"276.258_R1"	10480	10473	10473	10473	10428	10288	"Jurburg_Pig"
"276.259_R1"	14564	14558	14558	14558	14223	14043	"Jurburg_Pig"
"276.260_R1"	16121	16110	16110	16110	15936	15775	"Jurburg_Pig"
"276.261_R1"	18234	18210	18210	18210	17618	17363	"Jurburg_Pig"
"276.262_R1"	14112	14108	14108	14108	13965	13571	"Jurburg_Pig"
"276.265_R1"	16553	16553	16553	16553	15904	15166	"Jurburg_Pig"
"276.266_R1"	9257	9255	9255	9255	9177	8906	"Jurburg_Pig"
"276.267_R1"	9779	9777	9777	9777	9767	9288	"Jurburg_Pig"
"276.268_R1"	12104	12104	12104	12104	12084	11846	"Jurburg_Pig"
"276.269_R1"	12440	12433	12433	12433	12327	10273	"Jurburg_Pig"
"276.270_R1"	8475	8472	8472	8472	8428	8236	"Jurburg_Pig"
"276.271_R1"	25145	25128	25128	25128	24229	23938	"Jurburg_Pig"
"276.272_R1"	6861	6857	6857	6857	6850	6810	"Jurburg_Pig"
"276.273_R1"	11309	11305	11305	11305	10945	10886	"Jurburg_Pig"
"276.274_R1"	10579	10574	10574	10574	10159	10088	"Jurburg_Pig"
"276.277_R1"	33990	33984	33984	33984	32480	31337	"Jurburg_Pig"
"276.278_R1"	19529	19520	19520	19520	18581	18332	"Jurburg_Pig"
"276.279_R1"	16247	16238	16238	16238	15749	15674	"Jurburg_Pig"
"276.280_R1"	18258	18256	18256	18256	17731	16827	"Jurburg_Pig"
"276.281_R1"	18550	18546	18546	18546	17951	17372	"Jurburg_Pig"
"276.282_R1"	14793	14789	14789	14789	14730	13774	"Jurburg_Pig"
"276.285_R1"	5429	5429	5429	5429	5429	5429	"Jurburg_Pig"
"276.289_R1"	18359	18351	18351	18351	17846	17100	"Jurburg_Pig"
"276.290_R1"	16444	16440	16440	16440	16215	15805	"Jurburg_Pig"
"276.291_R1"	21431	21422	21422	21422	21245	20312	"Jurburg_Pig"
"276.292_R1"	28063	28051	28051	28051	27534	27014	"Jurburg_Pig"
"276.293_R1"	34552	34524	34524	34524	33600	30550	"Jurburg_Pig"
"276.294_R1"	38664	38650	38650	38650	37007	36397	"Jurburg_Pig"
"276.295_R1"	42823	42812	42812	42812	41534	40758	"Jurburg_Pig"
"276.296_R1"	45219	45203	45203	45203	44477	42446	"Jurburg_Pig"
"276.297_R1"	43448	43424	43424	43424	42091	41994	"Jurburg_Pig"
"276.298_R1"	43835	43789	43789	43789	42046	40910	"Jurburg_Pig"
"276.301_R1"	14404	14397	14397	14397	14203	13913	"Jurburg_Pig"
"276.302_R1"	9873	9866	9866	9866	9768	9511	"Jurburg_Pig"
"276.303_R1"	15294	15282	15282	15282	14996	14723	"Jurburg_Pig"
"276.304_R1"	60557	60546	60546	60546	55344	54777	"Jurburg_Pig"
"276.305_R1"	24704	24696	24696	24696	23672	23346	"Jurburg_Pig"
"276.306_R1"	17415	17403	17403	17403	17208	16941	"Jurburg_Pig"
"276.307_R1"	19893	19860	19860	19860	19651	18996	"Jurburg_Pig"
"276.308_R1"	19386	19373	19373	19373	19184	18828	"Jurburg_Pig"
"276.309_R1"	17796	17793	17793	17793	17069	16724	"Jurburg_Pig"
"276.310_R1"	25681	25661	25661	25661	24960	24828	"Jurburg_Pig"
"276.313_R1"	21989	21980	21980	21980	21877	20942	"Jurburg_Pig"
"276.314_R1"	13733	13725	13725	13725	13677	12636	"Jurburg_Pig"
"276.315_R1"	22606	22596	22596	22596	21607	21378	"Jurburg_Pig"
"276.316_R1"	28411	28397	28397	28397	27649	27347	"Jurburg_Pig"
"276.317_R1"	91411	91326	91326	91326	84023	83394	"Jurburg_Pig"
"276.318_R1"	39762	39738	39738	39738	39299	37452	"Jurburg_Pig"
"276.319_R1"	59210	59178	59178	59178	57018	55649	"Jurburg_Pig"
"276.320_R1"	60560	60532	60532	60532	57446	56988	"Jurburg_Pig"
"276.321_R1"	79373	79344	79344	79344	77125	75298	"Jurburg_Pig"
"276.322_R1"	113148	113083	113083	113083	109954	108922	"Jurburg_Pig"
"276.325_R1"	9679	9677	9677	9677	9493	9344	"Jurburg_Pig"
"276.326_R1"	16937	16929	16929	16929	16521	16476	"Jurburg_Pig"
