"Original.Reads"	"Filtered.Reads"	"Denoised.Reads"	"tabled"	"Non.chimeric.Reads"	"pseq"	"study"
"SRR6312512_1"	64504	64162	64162	64162	61656	61650	"Yan"
"SRR6312513_1"	80558	80002	80002	80002	77014	77010	"Yan"
"SRR6312514_1"	70195	69956	69956	69956	66991	66989	"Yan"
"SRR6312515_1"	78600	78208	78208	78208	74962	74962	"Yan"
"SRR6312516_1"	80039	79632	79632	79632	76659	76644	"Yan"
"SRR6312517_1"	74348	73953	73953	73953	71529	71527	"Yan"
"SRR6312518_1"	72001	71594	71594	71594	69481	69479	"Yan"
"SRR6312519_1"	65921	65525	65525	65525	63540	63507	"Yan"
"SRR6312520_1"	69131	68753	68753	68753	65928	65928	"Yan"
"SRR6312521_1"	55003	54769	54769	54769	52872	52866	"Yan"
"SRR6312522_1"	60613	60199	60199	60199	58462	58455	"Yan"
"SRR6312523_1"	68514	68059	68059	68059	66192	66184	"Yan"
"SRR6312524_1"	71682	71360	71360	71360	68627	68623	"Yan"
"SRR6312525_1"	49894	49736	49736	49736	47875	47873	"Yan"
"SRR6312526_1"	51526	51288	51288	51288	50047	50047	"Yan"
"SRR6312527_1"	63934	63597	63597	63597	62060	62060	"Yan"
"SRR6312528_1"	59142	58836	58836	58836	57470	57470	"Yan"
"SRR6312529_1"	64362	64141	64141	64141	62370	62350	"Yan"
"SRR6312530_1"	64747	64508	64508	64508	60769	60769	"Yan"
"SRR6312531_1"	57392	57156	57156	57156	54842	54842	"Yan"
"SRR6312532_1"	69023	68684	68684	68684	66910	66910	"Yan"
"SRR6312533_1"	63148	62861	62861	62861	61092	61092	"Yan"
"SRR6312534_1"	177523	177046	177046	177046	161263	160758	"Yan"
"SRR6312535_1"	131014	130637	130637	130637	119634	119215	"Yan"
"SRR6312536_1"	64610	64328	64328	64328	62131	62119	"Yan"
"SRR6312537_1"	244400	243740	243740	243740	233042	232293	"Yan"
"SRR6312538_1"	238257	237490	237490	237490	225759	225061	"Yan"
"SRR6312539_1"	202612	201842	201842	201842	182687	182004	"Yan"
"SRR6312540_1"	168080	167355	167355	167355	152191	151170	"Yan"
"SRR6312541_1"	159631	159134	159134	159134	148483	148090	"Yan"
"SRR6312542_1"	199668	199050	199050	199050	185310	184601	"Yan"
"SRR6312543_1"	209533	208847	208847	208847	196423	195503	"Yan"
"SRR6312544_1"	208408	207650	207650	207650	191883	190558	"Yan"
"SRR6312545_1"	74790	74391	74391	74391	72253	72230	"Yan"
"SRR6312546_1"	71271	70985	70985	70985	68254	68254	"Yan"
"SRR6312547_1"	66359	66055	66055	66055	64336	64336	"Yan"
"SRR6312548_1"	67351	66985	66985	66985	64924	64915	"Yan"
"SRR6312549_1"	66724	66242	66242	66242	63194	63192	"Yan"
"SRR6312550_1"	70948	70581	70581	70581	67979	67966	"Yan"
"SRR6312551_1"	63213	62896	62896	62896	59755	59755	"Yan"
"SRR6312552_1"	59572	59324	59324	59324	55581	55581	"Yan"
"SRR6312553_1"	71874	71542	71542	71542	70151	70149	"Yan"
"SRR6312554_1"	64140	63859	63859	63859	62710	62708	"Yan"
"SRR6312555_1"	78393	77893	77893	77893	75094	75084	"Yan"
"SRR6312556_1"	78425	77998	77998	77998	75298	75296	"Yan"
"SRR6312557_1"	63301	62990	62990	62990	61484	61484	"Yan"
"SRR6312558_1"	65433	65150	65150	65150	61770	61770	"Yan"
"SRR6312559_1"	57870	57632	57632	57632	55656	55656	"Yan"
"SRR6312560_1"	70819	70430	70430	70430	67609	67605	"Yan"
"SRR6312561_1"	70299	69959	69959	69959	67106	67099	"Yan"
"SRR6312562_1"	61486	61327	61327	61327	58670	58670	"Yan"
"SRR6312563_1"	76841	76611	76611	76611	73043	73043	"Yan"
"SRR6312564_1"	63512	63228	63228	63228	61283	61280	"Yan"
