"Original.Reads"	"Filtered.Reads"	"Denoised.Reads"	"tabled"	"Non.chimeric.Reads"	"pseq"	"study"
"SRR5007686_2"	109268	58188	58188	58188	58007	58002	"Kennedy"
"SRR5007687_2"	85404	45652	45652	45652	45496	45496	"Kennedy"
"SRR5007688_2"	159269	85161	85161	85161	84283	84283	"Kennedy"
"SRR5007689_2"	121210	65182	65182	65182	64505	64505	"Kennedy"
"SRR5007690_2"	160730	86591	86591	86591	85727	85727	"Kennedy"
"SRR5007691_2"	120733	64833	64833	64833	63735	63735	"Kennedy"
"SRR5007692_2"	164558	87249	87249	87249	86073	86073	"Kennedy"
"SRR5007693_2"	106471	56919	56919	56919	56694	56687	"Kennedy"
"SRR5007694_2"	132798	71213	71213	71213	70191	70191	"Kennedy"
"SRR5007695_2"	154542	83225	83225	83225	82286	82276	"Kennedy"
"SRR5007696_2"	76167	39422	39422	39422	39138	39138	"Kennedy"
"SRR5007697_2"	116457	61466	61466	61466	60342	60342	"Kennedy"
"SRR5007698_2"	69532	37260	37260	37260	36559	36559	"Kennedy"
"SRR5007699_2"	67202	36365	36365	36365	36275	36275	"Kennedy"
"SRR5007700_2"	96141	51011	51011	51011	50390	50390	"Kennedy"
"SRR5007701_2"	145780	77380	77380	77380	76821	76808	"Kennedy"
"SRR5007702_2"	147520	78934	78934	78934	78150	78148	"Kennedy"
"SRR5007703_2"	82387	43814	43814	43814	42568	42568	"Kennedy"
