"Original.Reads"	"Filtered.Reads"	"Denoised.Reads"	"tabled"	"Non.chimeric.Reads"	"pseq"	"study"
"Plq-D0-8_S85_L001_R1_001.fastq"	100246	100206	100206	100206	100159	99957	"Flancman"
"Plq-D0-9_S2_L001_R1_001.fastq"	89315	89286	89286	89286	89211	88943	"Flancman"
"Plq-D28-10_S22_L001_R1_001.fastq"	80302	80232	80232	80232	79974	78198	"Flancman"
"Plq-D28-11_S34_L001_R1_001.fastq"	95335	95296	95296	95296	95296	95157	"Flancman"
"Plq-D28-12_S46_L001_R1_001.fastq"	109452	109408	109408	109408	109402	109303	"Flancman"
"Plq-D28-13_S58_L001_R1_001.fastq"	124086	124048	124048	124048	124007	123616	"Flancman"
"Plq-D28-14_S70_L001_R1_001.fastq"	112243	112191	112191	112191	111539	108720	"Flancman"
"Plq-D28-15_S82_L001_R1_001.fastq"	118066	118025	118025	118025	117768	117385	"Flancman"
"Plq-D28-16_S94_L001_R1_001.fastq"	108197	108161	108161	108161	108098	107410	"Flancman"
"Plq-D28-17_S11_L001_R1_001.fastq"	93313	93267	93267	93267	93121	92895	"Flancman"
"Plq-D28-18_S23_L001_R1_001.fastq"	102563	102520	102520	102520	102471	102100	"Flancman"
"Plq-D28-19_S35_L001_R1_001.fastq"	106440	106375	106375	106375	105991	105811	"Flancman"
"Plq-D28-1_S9_L001_R1_001.fastq"	125716	125653	125653	125653	125079	124780	"Flancman"
"Plq-D28-20_S47_L001_R1_001.fastq"	70113	70074	70074	70074	70043	68850	"Flancman"
"Plq-D28-21_S59_L001_R1_001.fastq"	111955	111911	111911	111911	111476	111231	"Flancman"
"Plq-D28-23_S71_L001_R1_001.fastq"	127528	127497	127497	127497	127448	127302	"Flancman"
"Plq-D28-24_S83_L001_R1_001.fastq"	116836	116795	116795	116795	116679	116023	"Flancman"
"Plq-D28-26_S95_L001_R1_001.fastq"	112736	112705	112705	112705	112705	112513	"Flancman"
"Plq-D28-27_S12_L001_R1_001.fastq"	110741	110669	110669	110669	110469	110024	"Flancman"
"Plq-D28-28_S24_L001_R1_001.fastq"	106613	106575	106575	106575	106482	106161	"Flancman"
"Plq-D28-29_S36_L001_R1_001.fastq"	78498	78446	78446	78446	77820	75632	"Flancman"
"Plq-D28-2_S21_L001_R1_001.fastq"	105606	105574	105574	105574	105542	105395	"Flancman"
"Plq-D28-30_S48_L001_R1_001.fastq"	127984	127923	127923	127923	126715	126589	"Flancman"
"Plq-D28-31_S60_L001_R1_001.fastq"	136356	136312	136312	136312	136229	134326	"Flancman"
"Plq-D28-32_S72_L001_R1_001.fastq"	78349	78323	78323	78323	78043	77464	"Flancman"
"Plq-D28-3_S33_L001_R1_001.fastq"	99258	99228	99228	99228	98535	98225	"Flancman"
"Plq-D28-4_S45_L001_R1_001.fastq"	70018	69979	69979	69979	69971	69751	"Flancman"
"Plq-D28-5_S57_L001_R1_001.fastq"	98216	98179	98179	98179	97457	96850	"Flancman"
"Plq-D28-6_S69_L001_R1_001.fastq"	127170	127127	127127	127127	126765	126276	"Flancman"
"Plq-D28-7_S81_L001_R1_001.fastq"	115839	115818	115818	115818	115818	115398	"Flancman"
"Plq-D28-8_S93_L001_R1_001.fastq"	105792	105748	105748	105748	105646	105348	"Flancman"
"Plq-D28-9_S10_L001_R1_001.fastq"	108619	108579	108579	108579	108359	107508	"Flancman"
"Plq-D7-10_S18_L001_R1_001.fastq"	118754	118730	118730	118730	118701	118628	"Flancman"
"Plq-D7-11_S30_L001_R1_001.fastq"	97415	97379	97379	97379	97197	97121	"Flancman"
"Plq-D7-12_S42_L001_R1_001.fastq"	107919	107850	107850	107850	107850	107800	"Flancman"
"Plq-D7-13_S54_L001_R1_001.fastq"	109176	109138	109138	109138	108943	108687	"Flancman"
"Plq-D7-14_S66_L001_R1_001.fastq"	129483	129414	129414	129414	129414	129307	"Flancman"
"Plq-D7-15_S78_L001_R1_001.fastq"	115429	115400	115400	115400	115400	115339	"Flancman"
"Plq-D7-16_S90_L001_R1_001.fastq"	106646	106617	106617	106617	106186	106140	"Flancman"
"Plq-D7-17_S7_L001_R1_001.fastq"	62737	62715	62715	62715	62715	62536	"Flancman"
"Plq-D7-18_S19_L001_R1_001.fastq"	111752	111701	111701	111701	111698	111540	"Flancman"
"Plq-D7-19_S31_L001_R1_001.fastq"	100971	100912	100912	100912	100870	100698	"Flancman"
"Plq-D7-1_S5_L001_R1_001.fastq"	103145	103109	103109	103109	102933	102204	"Flancman"
"Plq-D7-20_S43_L001_R1_001.fastq"	90146	90114	90114	90114	89939	89901	"Flancman"
"Plq-D7-21_S55_L001_R1_001.fastq"	117840	117792	117792	117792	117705	117460	"Flancman"
"Plq-D7-23_S67_L001_R1_001.fastq"	97831	97805	97805	97805	97628	97391	"Flancman"
"Plq-D7-24_S79_L001_R1_001.fastq"	95833	95803	95803	95803	95803	95447	"Flancman"
"Plq-D7-26_S91_L001_R1_001.fastq"	97173	97115	97115	97115	96573	94054	"Flancman"
"Plq-D7-27_S8_L001_R1_001.fastq"	21169	21155	21155	21155	21155	21051	"Flancman"
"Plq-D7-28_S20_L001_R1_001.fastq"	115155	115116	115116	115116	115079	114760	"Flancman"
"Plq-D7-29_S32_L001_R1_001.fastq"	110509	110468	110468	110468	110285	108884	"Flancman"
"Plq-D7-2_S17_L001_R1_001.fastq"	93379	93353	93353	93353	93146	93043	"Flancman"
"Plq-D7-30_S44_L001_R1_001.fastq"	110617	110545	110545	110545	110226	110082	"Flancman"
"Plq-D7-31_S56_L001_R1_001.fastq"	31218	31197	31197	31197	31182	30392	"Flancman"
"Plq-D7-32_S68_L001_R1_001.fastq"	53155	53125	53125	53125	53033	52356	"Flancman"
"Plq-D7-3_S29_L001_R1_001.fastq"	100981	100951	100951	100951	99205	99095	"Flancman"
"Plq-D7-4_S41_L001_R1_001.fastq"	90180	90152	90152	90152	90067	89522	"Flancman"
"Plq-D7-5_S53_L001_R1_001.fastq"	117492	117450	117450	117450	117072	116852	"Flancman"
"Plq-D7-6_S65_L001_R1_001.fastq"	119943	119919	119919	119919	118466	117981	"Flancman"
"Plq-D7-7_S77_L001_R1_001.fastq"	94159	94127	94127	94127	94127	93998	"Flancman"
"Plq-D7-8_S89_L001_R1_001.fastq"	117525	117438	117438	117438	116596	113604	"Flancman"
"Plq-D7-9_S6_L001_R1_001.fastq"	101077	101031	101031	101031	100996	100940	"Flancman"
"SW-D0-10_S18_L001_R1_001.fastq"	78503	78478	78478	78478	78342	78304	"Flancman"
"SW-D0-11_S30_L001_R1_001.fastq"	112372	112343	112343	112343	111730	111669	"Flancman"
"SW-D0-1_S5_L001_R1_001.fastq"	166078	166063	166063	166063	166063	165978	"Flancman"
"SW-D0-23_S79_L001_R1_001.fastq"	132867	132851	132851	132851	132812	132773	"Flancman"
"SW-D0-24_S91_L001_R1_001.fastq"	120263	120247	120247	120247	120031	119994	"Flancman"
"SW-D0-25_S8_L001_R1_001.fastq"	132363	132315	132315	132315	131961	131836	"Flancman"
"SW-D0-26_S20_L001_R1_001.fastq"	122518	122472	122472	122472	122204	122150	"Flancman"
"SW-D0-27_S32_L001_R1_001.fastq"	90745	90726	90726	90726	90701	90681	"Flancman"
"SW-D0-28_S44_L001_R1_001.fastq"	123294	123263	123263	123263	123216	123208	"Flancman"
"SW-D0-29_S56_L001_R1_001.fastq"	347	346	346	346	346	346	"Flancman"
"SW-D0-2_S17_L001_R1_001.fastq"	114618	114587	114587	114587	114488	114340	"Flancman"
"SW-D0-30_S68_L001_R1_001.fastq"	139167	139127	139127	139127	139127	139115	"Flancman"
"SW-D0-31_S80_L001_R1_001.fastq"	123752	123729	123729	123729	123485	123446	"Flancman"
"SW-D0-32_S92_L001_R1_001.fastq"	85115	85092	85092	85092	84752	84693	"Flancman"
"SW-D0-3_S29_L001_R1_001.fastq"	123067	123044	123044	123044	123000	122965	"Flancman"
"SW-D0-4_S41_L001_R1_001.fastq"	105226	105209	105209	105209	105209	105185	"Flancman"
"SW-D0-5_S53_L001_R1_001.fastq"	140648	140637	140637	140637	140606	140595	"Flancman"
"SW-D0-6_S65_L001_R1_001.fastq"	125554	125534	125534	125534	125534	125504	"Flancman"
"SW-D0-7_S77_L001_R1_001.fastq"	121124	121085	121085	121085	121085	121052	"Flancman"
"SW-D0-8_S89_L001_R1_001.fastq"	127902	127888	127888	127888	127888	127829	"Flancman"
"SW-D0-9_S6_L001_R1_001.fastq"	136744	136701	136701	136701	136632	136489	"Flancman"
"SW-D7-10_S22_L001_R1_001.fastq"	148095	148050	148050	148050	147399	147355	"Flancman"
"SW-D7-11_S34_L001_R1_001.fastq"	120602	120574	120574	120574	120473	120426	"Flancman"
"SW-D7-12_S46_L001_R1_001.fastq"	141730	141632	141632	141632	141509	140875	"Flancman"
