"Original.Reads"	"Filtered.Reads"	"Denoised.Reads"	"tabled"	"Non.chimeric.Reads"	"pseq"	"study"
"ERR1987449"	34916	30619	30619	30619	29929	29019	"Ho"
"ERR1987450"	123647	102411	102411	102411	98731	98063	"Ho"
"ERR1987451"	48822	43861	43861	43861	42693	41107	"Ho"
"ERR1987452"	40244	32499	32499	32499	31716	31552	"Ho"
"ERR1987453"	48697	43433	43433	43433	42162	40994	"Ho"
"ERR1987454"	31412	29350	29350	29350	28664	28505	"Ho"
"ERR1987455"	54575	46988	46988	46988	45606	43918	"Ho"
"ERR1987456"	35268	27210	27210	27210	26796	26588	"Ho"
"ERR1987457"	41543	38499	38499	38499	37474	36335	"Ho"
"ERR1987458"	33739	28852	28852	28852	28318	28183	"Ho"
"ERR1987459"	40471	34658	34658	34658	33665	32735	"Ho"
"ERR1987460"	25051	22008	22008	22008	21611	21477	"Ho"
"ERR1987461"	44244	38493	38493	38493	37531	36393	"Ho"
"ERR1987462"	28367	24563	24563	24563	24241	24124	"Ho"
"ERR1987463"	50423	41952	41952	41952	40928	39562	"Ho"
"ERR1987464"	27805	25688	25688	25688	25353	25264	"Ho"
"ERR1987465"	43079	39158	39158	39158	38217	37566	"Ho"
"ERR1987466"	49194	26797	26797	26797	26424	26335	"Ho"
"ERR1987467"	49683	43915	43915	43915	42794	41562	"Ho"
"ERR1987468"	40733	30414	30414	30414	29966	29800	"Ho"
"ERR1987469"	25743	23380	23380	23380	22912	22294	"Ho"
"ERR1987470"	46430	39281	39281	39281	38747	38553	"Ho"
"ERR1987471"	57464	51496	51496	51496	50497	49033	"Ho"
"ERR1987472"	63374	46504	46504	46504	45546	45395	"Ho"
"ERR1987473"	42564	38561	38561	38561	37825	36534	"Ho"
"ERR1987474"	31304	26090	26090	26090	25790	25653	"Ho"
"ERR1987475"	46527	42346	42346	42346	41461	40200	"Ho"
"ERR1987476"	28899	24460	24460	24460	24091	23920	"Ho"
"ERR1987477"	22436	20267	20267	20267	19878	19505	"Ho"
"ERR1987478"	43348	35519	35519	35519	35003	34585	"Ho"
"ERR1987479"	23146	21024	21024	21024	20587	20157	"Ho"
"ERR1987480"	38955	34190	34190	34190	33223	32890	"Ho"
"ERR1987481"	51780	44166	44166	44166	42668	42104	"Ho"
"ERR1987482"	36090	30587	30587	30587	29727	29532	"Ho"
"ERR1987483"	58805	46893	46893	46893	45361	44825	"Ho"
"ERR1987484"	48153	41077	41077	41077	39906	39521	"Ho"
"ERR1987485"	45407	37469	37469	37469	36209	35916	"Ho"
"ERR1987486"	36082	32224	32224	32224	31433	31260	"Ho"
"ERR1987487"	34161	29303	29303	29303	28450	28215	"Ho"
"ERR1987488"	42570	35110	35110	35110	34342	34145	"Ho"
