"Original.Reads"	"Filtered.Reads"	"Denoised.Reads"	"tabled"	"Non.chimeric.Reads"	"pseq"	"study"
"168-IV-1-1-4.join.fq.gz"	80250	80212	80212	80212	80208	80208	"study"
"169-IV-1-2-4.join.fq.gz"	100590	100550	100550	100550	100522	100522	"study"
"16-II-1-2-1.join.fq.gz"	14536	14524	14524	14524	14524	14524	"study"
"170-IV-2-1-4.join.fq.gz"	28006	27996	27996	27996	27996	27996	"study"
"171-IV-2-2-4.join.fq.gz"	122225	122144	122144	122144	121502	121502	"study"
"172-IV-3-1-4.join.fq.gz"	94425	94381	94381	94381	94381	94381	"study"
"173-IV-4-1-4.join.fq.gz"	78806	78757	78757	78757	78757	78757	"study"
"174-IV-5-1-4.join.fq.gz"	58931	58914	58914	58914	58898	58898	"study"
"175-VI-1-2-4.join.fq.gz"	156705	156637	156637	156637	156444	156444	"study"
"176-VI-2-2-4.join.fq.gz"	131501	131462	131462	131462	130782	130782	"study"
"177-VI-3-1-4.join.fq.gz"	110293	110242	110242	110242	109629	109629	"study"
"178-VI-3-2-4.join.fq.gz"	117357	117324	117324	117324	116741	116741	"study"
"179-VI-5-1-4.join.fq.gz"	77021	76999	76999	76999	76999	76999	"study"
"17-II-3-1-1.join.fq.gz"	65657	65638	65638	65638	65490	65490	"study"
"180-VI-1-2-8.join.fq.gz"	14662	14638	14638	14638	14562	14562	"study"
"181-VI-2-2-8.join.fq.gz"	62601	62507	62507	62507	62112	62112	"study"
"182-VI-3-2-8.join.fq.gz"	76653	76561	76561	76561	76408	76408	"study"
"183-VI-5-1-8.join.fq.gz"	103993	103775	103775	103775	103208	103208	"study"
"18-II-5-2-1.join.fq.gz"	90882	90868	90868	90868	90863	90863	"study"
"19-II-1-1-0.join.fq.gz"	62227	62188	62188	62188	62188	62188	"study"
"1-II-2-1-1.join.fq.gz"	56065	56051	56051	56051	55887	55887	"study"
"20-II-1-2-0.join.fq.gz"	31005	30996	30996	30996	30996	30996	"study"
"21-II-3-1-0.join.fq.gz"	57544	57533	57533	57533	57533	57533	"study"
"22-II-5-2-0.join.fq.gz"	54212	54189	54189	54189	54189	54189	"study"
"23-II-1-1-2.join.fq.gz"	54105	54059	54059	54059	53946	53946	"study"
"24-II-1-2-2.join.fq.gz"	37593	37570	37570	37570	37570	37570	"study"
"25-II-5-2-2.join.fq.gz"	58467	58444	58444	58444	58198	58198	"study"
"26-II-1-1-4.join.fq.gz"	18347	18343	18343	18343	18312	18312	"study"
"27-II-1-2-4.join.fq.gz"	32379	32361	32361	32361	32299	32299	"study"
"28-II-3-1-4.join.fq.gz"	55685	55648	55648	55648	55091	55091	"study"
"29-II-5-2-4.join.fq.gz"	50760	50724	50724	50724	50300	50300	"study"
"2-II-2-2-1.join.fq.gz"	34361	34348	34348	34348	34348	34348	"study"
"30-II-1-1-6.join.fq.gz"	41418	41396	41396	41396	41396	41396	"study"
"31-II-1-2-6.join.fq.gz"	115254	115211	115211	115211	114971	114971	"study"
"32-II-3-1-6.join.fq.gz"	183047	182923	182923	182923	182434	182434	"study"
"33-II-5-2-6.join.fq.gz"	15693	15684	15684	15684	15678	15678	"study"
"34-III-1-1-1.join.fq.gz"	86	85	85	85	85	85	"study"
"35-III-1-2-1.join.fq.gz"	48720	48713	48713	48713	48278	48278	"study"
"36-III-2-2-1.join.fq.gz"	75817	75805	75805	75805	75518	75518	"study"
"37-III-4-1-1.join.fq.gz"	78453	78433	78433	78433	78322	78322	"study"
"38-III-4-2-1.join.fq.gz"	96227	96194	96194	96194	96077	96077	"study"
"39-III-5-1-1.join.fq.gz"	52716	52685	52685	52685	52596	52596	"study"
"3-II-3-2-1.join.fq.gz"	52937	52923	52923	52923	52851	52851	"study"
"40-III-5-2-1.join.fq.gz"	83645	83639	83639	83639	83452	83452	"study"
"41-III-1-1-0.join.fq.gz"	99291	99225	99225	99225	98568	98568	"study"
"42-III-1-2-0.join.fq.gz"	16074	16067	16067	16067	16005	16005	"study"
"43-III-2-2-0.join.fq.gz"	115504	115443	115443	115443	114684	114684	"study"
"44-III-4-1-0.join.fq.gz"	64018	63997	63997	63997	63997	63995	"study"
"45-III-4-2-0.join.fq.gz"	87677	87647	87647	87647	87624	87624	"study"
"46-III-5-1-0.join.fq.gz"	75120	75083	75083	75083	75083	75083	"study"
"47-III-5-2-0.join.fq.gz"	55441	55425	55425	55425	55380	55380	"study"
"48-III-1-1-2.join.fq.gz"	49216	49194	49194	49194	49088	49088	"study"
"49-III-1-2-2.join.fq.gz"	62710	62698	62698	62698	62681	62681	"study"
"4-II-4-1-1.join.fq.gz"	31534	31520	31520	31520	31422	31422	"study"
"50-III-2-2-2.join.fq.gz"	14115	14108	14108	14108	14108	14108	"study"
"51-III-4-1-2.join.fq.gz"	42747	42740	42740	42740	42737	42737	"study"
"52-III-4-2-2.join.fq.gz"	105	102	102	102	102	102	"study"
"53-III-5-1-2.join.fq.gz"	112	112	112	112	112	112	"study"
"54-III-5-2-2.join.fq.gz"	117887	117830	117830	117830	117801	117801	"study"
"55-III-1-1-4.join.fq.gz"	30712	30630	30630	30630	30610	30604	"study"
"56-III-1-2-4.join.fq.gz"	103674	103578	103578	103578	103553	103553	"study"
"57-III-2-2-4.join.fq.gz"	17991	17988	17988	17988	17985	17985	"study"
"58-III-4-1-4.join.fq.gz"	220	219	219	219	219	219	"study"
"59-III-4-2-4.join.fq.gz"	15131	15123	15123	15123	15123	15123	"study"
"5-II-4-2-1.join.fq.gz"	35147	35142	35142	35142	35114	35114	"study"
"60-III-5-1-4.join.fq.gz"	19246	19242	19242	19242	19242	19242	"study"
"61-III-5-2-4.join.fq.gz"	20304	20299	20299	20299	20299	20299	"study"
"62-III-1-1-6.join.fq.gz"	17125	17123	17123	17123	17123	17123	"study"
"63-III-1-2-6.join.fq.gz"	17705	17700	17700	17700	17700	17700	"study"
"64-III-2-2-6.join.fq.gz"	4691	4689	4689	4689	4689	4689	"study"
"65-III-4-1-6.join.fq.gz"	19889	19884	19884	19884	19884	19884	"study"
"66-III-4-2-6.join.fq.gz"	17	17	17	17	17	17	"study"
"67-III-5-1-6.join.fq.gz"	49722	49705	49705	49705	49700	49700	"study"
"68-III-5-2-6.join.fq.gz"	20206	20199	20199	20199	20199	20199	"study"
"69-III-1-1-10.join.fq.gz"	83489	83448	83448	83448	83157	83157	"study"
"6-II-5-1-1.join.fq.gz"	39713	39706	39706	39706	39632	39632	"study"
"70-III-1-2-10.join.fq.gz"	73465	73444	73444	73444	73226	73226	"study"
"71-III-2-2-10.join.fq.gz"	61074	61044	61044	61044	60900	60900	"study"
"72-III-4-1-10.join.fq.gz"	18495	18486	18486	18486	18482	18482	"study"
"73-III-4-2-10.join.fq.gz"	55857	55833	55833	55833	55833	55828	"study"
"74-III-5-1-10.join.fq.gz"	45428	45418	45418	45418	45418	45418	"study"
"75-III-5-2-10.join.fq.gz"	42629	42604	42604	42604	42604	42604	"study"
"76-III-1-1-14.join.fq.gz"	38446	38436	38436	38436	38436	38436	"study"
"77-III-1-2-14.join.fq.gz"	19799	19795	19795	19795	19795	19795	"study"
"78-III-2-2-14.join.fq.gz"	48964	48959	48959	48959	48943	48943	"study"
"79-III-4-1-14.join.fq.gz"	58432	58429	58429	58429	58318	58318	"study"
"7-II-2-1-0.join.fq.gz"	45678	45663	45663	45663	45249	45249	"study"
"80-III-4-2-14.join.fq.gz"	79837	79803	79803	79803	79751	79751	"study"
"81-III-5-1-14.join.fq.gz"	57655	57645	57645	57645	57628	57628	"study"
"82-III-5-2-14.join.fq.gz"	40045	40031	40031	40031	40031	40031	"study"
"83-V-1-1-1.join.fq.gz"	57769	57751	57751	57751	57703	57703	"study"
"84-V-1-2-1.join.fq.gz"	50902	50880	50880	50880	50495	50495	"study"
"85-V-2-1-1.join.fq.gz"	59386	59377	59377	59377	57525	57525	"study"
"86-V-2-2-1.join.fq.gz"	58177	58167	58167	58167	58111	58111	"study"
"87-V-3-1-1.join.fq.gz"	40927	40906	40906	40906	40865	40865	"study"
"88-V-4-1-1.join.fq.gz"	37405	37403	37403	37403	37398	37398	"study"
"89-V-5-1-1.join.fq.gz"	17948	17948	17948	17948	17940	17940	"study"
"8-II-2-2-0.join.fq.gz"	39550	39543	39543	39543	39367	39367	"study"
"90-V-5-2-1.join.fq.gz"	48751	48741	48741	48741	48718	48718	"study"
"91-V-1-1-0.join.fq.gz"	63028	63011	63011	63011	58139	58139	"study"
"92-V-1-2-0.join.fq.gz"	73824	73790	73790	73790	66083	66083	"study"
"93-V-2-1-0.join.fq.gz"	57623	57508	57508	57508	57272	57272	"study"
"94-V-2-2-0.join.fq.gz"	35646	35621	35621	35621	35378	35378	"study"
"95-V-3-1-0.join.fq.gz"	66185	66172	66172	66172	66172	66172	"study"
"96-V-4-1-0.join.fq.gz"	9408	9403	9403	9403	9403	9403	"study"
"97-V-5-1-0.join.fq.gz"	52195	52183	52183	52183	52183	52183	"study"
"98-V-5-2-0.join.fq.gz"	46285	46273	46273	46273	46250	46250	"study"
"99-V-1-1-4.join.fq.gz"	34292	34277	34277	34277	34108	34108	"study"
"9-II-3-2-0.join.fq.gz"	23211	23206	23206	23206	22808	22808	"study"
